,ЗП_от,ЗП_до
1,100000.0,150000.0
3,150000.0,
4,90000.0,120000.0
5,100000.0,160000.0
6,75000.0,
7,,80000.0
8,120000.0,
9,60000.0,
10,,130000.0
11,80000.0,250000.0
12,40000.0,100000.0
13,200000.0,
14,280000.0,350000.0
16,110000.0,130000.0
18,250000.0,300000.0
19,80000.0,120000.0
21,260000.0,320000.0
22,90000.0,
23,,25000.0
24,90000.0,
25,100000.0,
28,180000.0,200000.0
29,95000.0,
30,70000.0,120000.0
31,,220000.0
32,,350000.0
33,1500.0,2500.0
34,250000.0,320000.0
38,,55000.0
40,80000.0,
41,,7000.0
42,60000.0,100000.0
44,4000.0,
45,180000.0,
46,210000.0,
47,130000.0,
48,200000.0,
51,200000.0,400000.0
56,,240000.0
57,120000.0,180000.0
58,150000.0,
59,,450000.0
60,120000.0,
62,150000.0,
63,150000.0,200000.0
65,120000.0,200000.0
66,80000.0,100000.0
71,,500000.0
72,250000.0,300000.0
73,250000.0,400000.0
75,200000.0,
77,150000.0,
78,200000.0,350000.0
79,4000.0,8000.0
83,90000.0,
84,180000.0,240000.0
85,100000.0,120000.0
86,150000.0,
87,60000.0,100000.0
89,,350000.0
90,50000.0,90000.0
92,,200000.0
94,120000.0,
95,200000.0,350000.0
96,100000.0,
98,120000.0,
100,,450000.0
101,42500.0,
103,150000.0,
104,40000.0,100000.0
107,180000.0,250000.0
108,180000.0,210000.0
111,100000.0,
112,30000.0,80000.0
113,70000.0,
114,200000.0,
115,200000.0,235000.0
116,100000.0,100000.0
117,150000.0,
118,,320000.0
119,,70000.0
120,170000.0,190000.0
123,250000.0,
124,150000.0,
125,,400000.0
126,70000.0,200000.0
127,250000.0,350000.0
128,400.0,1500.0
131,47200.0,
133,110000.0,135000.0
135,150000.0,250000.0
136,150000.0,
139,,200000.0
140,,150000.0
141,,125000.0
142,,230000.0
143,280000.0,
144,50000.0,110000.0
145,,550000.0
146,120000.0,
147,3700.0,5300.0
149,60000.0,
151,60000.0,
153,180000.0,200000.0
157,40000.0,50000.0
158,,155000.0
159,100000.0,100000.0
161,120000.0,
162,,150000.0
164,200000.0,300000.0
165,,280000.0
167,,100000.0
169,70000.0,80000.0
171,,130000.0
174,220000.0,
175,,150000.0
178,92000.0,92000.0
180,120000.0,
181,200000.0,300000.0
182,,300000.0
183,,250000.0
184,,300000.0
187,150000.0,
188,80000.0,
189,,300000.0
190,,250000.0
191,65000.0,80000.0
194,70000.0,80000.0
195,200000.0,
196,120000.0,200000.0
199,2000.0,3000.0
201,180000.0,210000.0
203,72000.0,72000.0
204,2000.0,
206,3000.0,4000.0
208,,350000.0
210,160000.0,250000.0
211,150000.0,
212,185000.0,
214,,240000.0
215,70000.0,
218,,150000.0
219,80000.0,120000.0
220,,218400.0
221,280000.0,400000.0
223,130000.0,150000.0
224,160000.0,170000.0
227,90000.0,120000.0
228,,500000.0
229,150000.0,
230,300000.0,
231,250000.0,
234,,300000.0
235,200000.0,
237,90000.0,150000.0
238,90000.0,
239,60000.0,
240,200000.0,400000.0
242,170000.0,
244,220000.0,270000.0
245,,350000.0
246,200000.0,
247,,402299.0
249,,4000.0
252,100000.0,110000.0
253,70000.0,80000.0
255,80000.0,
256,200000.0,350000.0
262,70000.0,80000.0
263,150000.0,
266,250000.0,
267,250000.0,
268,100000.0,140000.0
269,400000.0,
270,70000.0,180000.0
271,200000.0,
272,350000.0,
276,120000.0,150000.0
277,250000.0,350000.0
278,150000.0,
282,200000.0,
284,260000.0,340000.0
285,90000.0,
286,150000.0,
287,70000.0,80000.0
290,300000.0,
292,240000.0,
294,250000.0,300000.0
295,180000.0,210000.0
298,150000.0,
299,120000.0,200000.0
303,30000.0,
304,30000.0,
305,30000.0,
306,30000.0,
307,300000.0,
308,150000.0,230000.0
309,30000.0,
311,30000.0,
312,150000.0,180000.0
313,30000.0,
314,150000.0,200000.0
315,30000.0,
316,200000.0,
317,300000.0,
318,30000.0,
319,30000.0,
320,,200000.0
321,,350000.0
322,30000.0,
323,30000.0,
324,1000.0,1500.0
325,200000.0,
326,200000.0,
327,330000.0,450000.0
329,1000.0,1500.0
330,1000.0,1500.0
331,,350000.0
332,150000.0,200000.0
333,,350000.0
334,,350000.0
335,200000.0,
336,,350000.0
337,150000.0,300000.0
339,350000.0,
340,2000.0,4000.0
341,500000.0,1500000.0
342,700000.0,850000.0
343,120000.0,200000.0
344,4000.0,7000.0
345,250000.0,310000.0
346,180000.0,300000.0
348,6500.0,9000.0
349,5000.0,10000.0
350,3500.0,
351,2000.0,4000.0
353,250000.0,
355,130000.0,
356,250000.0,
357,60000.0,
358,,8000.0
359,200000.0,
360,400000.0,
361,1500.0,2500.0
362,70000.0,80000.0
363,4000.0,5000.0
364,70000.0,80000.0
365,70000.0,
366,250000.0,320000.0
367,150000.0,230000.0
368,150000.0,
369,30000.0,42000.0
372,200000.0,400000.0
373,,170000.0
374,70000.0,80000.0
375,200000.0,
376,3500.0,4000.0
378,8000.0,
381,350000.0,
382,70000.0,80000.0
384,70000.0,80000.0
385,110000.0,110000.0
386,,250000.0
387,80000.0,
388,300000.0,460000.0
389,250000.0,300000.0
391,100000.0,
396,280000.0,
397,,250000.0
398,44000.0,
399,300000.0,
400,300000.0,360000.0
401,5000.0,
403,230000.0,270000.0
406,250000.0,380000.0
407,300000.0,400000.0
408,150000.0,400000.0
409,90000.0,200000.0
410,120000.0,
411,,180000.0
412,6000.0,9000.0
413,7000.0,
414,2000.0,4000.0
416,280000.0,
417,70000.0,80000.0
418,8000.0,
420,300000.0,300000.0
422,200000.0,400000.0
423,500000.0,
424,300000.0,
426,,5000.0
427,300000.0,
428,,350000.0
429,,300000.0
431,90000.0,
432,,206000.0
435,,300000.0
436,120000.0,
437,106000.0,300000.0
438,80000.0,200000.0
439,180000.0,250000.0
440,,350000.0
441,100000.0,
445,,400000.0
447,120000.0,250000.0
448,200000.0,300000.0
449,,330000.0
450,,175000.0
451,70000.0,80000.0
452,,300000.0
454,85000.0,150000.0
455,200000.0,210000.0
456,120000.0,
462,250000.0,
463,200000.0,
472,50000.0,50000.0
473,60000.0,80000.0
474,60000.0,
475,30000.0,
476,,300000.0
477,,100000.0
478,,50000.0
480,,120000.0
481,150000.0,200000.0
483,40000.0,110000.0
485,,10000.0
486,300000.0,
487,100000.0,
488,450000.0,
494,70000.0,
495,150000.0,
497,40000.0,
499,150000.0,
500,30000.0,65000.0
501,100000.0,
503,180000.0,
504,,250000.0
505,4000.0,5000.0
507,40000.0,
508,60000.0,60000.0
511,150000.0,400000.0
512,80000.0,
513,180000.0,
516,8000.0,
517,1000.0,1000.0
518,120000.0,
519,50000.0,
520,85000.0,
521,30000.0,65000.0
522,5000.0,
524,280000.0,330000.0
529,150000.0,
530,,280000.0
533,450000.0,
535,,350000.0
536,170000.0,
539,115000.0,200000.0
540,60000.0,80000.0
541,100000.0,100000.0
542,,6000.0
544,70000.0,100000.0
545,100000.0,
546,,150000.0
547,,41400.0
549,,250000.0
550,30000.0,40000.0
553,150000.0,200000.0
555,300000.0,
556,,417000.0
557,190000.0,
560,200000.0,
561,350000.0,
562,,300000.0
563,100000.0,180000.0
565,200000.0,300000.0
567,320000.0,
569,80000.0,
570,200000.0,330000.0
571,230000.0,
573,250000.0,350000.0
574,,200000.0
576,,235000.0
578,180000.0,
579,230000.0,290000.0
580,,4000.0
581,100000.0,180000.0
582,,6000.0
585,200000.0,
586,4000.0,
591,130000.0,
592,250000.0,350000.0
593,,170000.0
597,80000.0,
598,200000.0,300000.0
600,,4500.0
601,250000.0,350000.0
602,200000.0,
604,120000.0,
605,,6000.0
606,180000.0,
608,250000.0,350000.0
609,80000.0,
614,200000.0,
616,150000.0,
621,,6000.0
622,250000.0,350000.0
623,3000.0,3000.0
627,200000.0,400000.0
630,,280000.0
631,70000.0,100000.0
633,80000.0,
636,110000.0,
638,4000.0,
639,,350000.0
640,260000.0,320000.0
642,,250000.0
645,150000.0,
646,,420000.0
647,250000.0,350000.0
648,120000.0,
651,250000.0,280000.0
657,300000.0,
658,,470000.0
659,5500.0,7000.0
661,250000.0,350000.0
662,250000.0,350000.0
663,100000.0,220000.0
666,250000.0,350000.0
667,,250000.0
668,250000.0,
670,220000.0,360000.0
673,150000.0,200000.0
674,150000.0,
676,50000.0,
677,350000.0,
690,220000.0,360000.0
704,400000.0,450000.0
715,,350000.0
727,300000.0,500000.0
730,,400000.0
745,120000.0,
751,250000.0,
752,30000.0,70000.0
753,50000.0,
754,80000.0,150000.0
755,,180000.0
756,60000.0,80000.0
757,50000.0,
758,,120000.0
759,100000.0,
760,40000.0,90000.0
761,40000.0,
762,,180000.0
763,120000.0,180000.0
764,80000.0,110000.0
765,173000.0,
766,150000.0,
767,70000.0,
768,100000.0,200000.0
770,,63600.0
771,30000.0,200000.0
772,,140000.0
773,50000.0,
774,80000.0,
775,67800.0,
776,,130000.0
777,90000.0,140000.0
778,110000.0,140000.0
779,1600.0,2300.0
780,160000.0,220000.0
781,150000.0,300000.0
782,25000.0,75000.0
783,,190000.0
784,,200000.0
785,50000.0,100000.0
786,100000.0,
787,120000.0,
788,,800.0
789,40000.0,
790,80000.0,150000.0
791,50000.0,90000.0
792,140000.0,
794,40000.0,
795,150000.0,
796,80000.0,130000.0
797,40000.0,80000.0
798,30000.0,
799,75000.0,120000.0
800,25000.0,75000.0
801,100000.0,150000.0
802,50000.0,80000.0
803,42000.0,
804,120000.0,
805,126000.0,
806,140000.0,190000.0
807,90000.0,130000.0
808,150000.0,
809,100000.0,
810,,3500.0
811,80000.0,
812,300000.0,320000.0
813,120000.0,
814,60000.0,
815,,60000.0
816,120000.0,
817,,30000.0
818,126000.0,
819,80000.0,
820,80000.0,
821,180000.0,
822,180000.0,
823,,47600.0
824,30000.0,
825,3500.0,4900.0
826,70000.0,120000.0
827,150000.0,
828,180000.0,
