"","id_professional_role","professional_role"
"0","40","Другое"
"1","96","Программист, разработчик"
"2","70","Менеджер по продажам, менеджер по работе с клиентами"
"6","10","Аналитик"
"8","73","Менеджер продукта"
"9","150","Бизнес-аналитик"
"10","164","Продуктовый аналитик"
"12","156","BI-аналитик, аналитик данных"
"13","107","Руководитель проектов"
"20","106","Руководитель отдела продаж"
"23","165","Дата-сайентист"
"26","68","Менеджер по маркетингу, интернет-маркетолог"
"37","71","Менеджер по работе с партнерами"
"42","124","Тестировщик"
"51","55","Копирайтер, редактор, корректор"
"62","8","Администратор"
"73","148","Системный аналитик"
"78","160","DevOps-инженер"
"81","118","Специалист по подбору персонала"
"86","134","Финансовый аналитик, инвестиционный аналитик"
"106","66","Менеджер по закупкам"
"115","157","Руководитель отдела аналитики"
"122","34","Дизайнер, художник"
"130","121","Специалист технической поддержки"
"135","142","Экономист"
"139","153","Менеджер по компенсациям и льготам"
"144","36","Директор по информационным технологиям (CIO)"
"152","83","Оператор call-центра, специалист контактного центра"
"179","137","Финансовый менеджер"
"193","113","Системный администратор"
"199","3","SMM-менеджер, контент-менеджер"
"207","30","Главный инженер проекта"
"219","132","Учитель, преподаватель, педагог"
"224","170","Руководитель отдела маркетинга и рекламы"
"225","163","Маркетолог-аналитик"
"238","2","PR-менеджер"
"250","104","Руководитель группы разработки"
"258","98","Продюсер"
"276","114","Системный инженер"
"356","169","Инженер-электроник, инженер-электронщик"
"375","48","Инженер-конструктор, инженер-проектировщик"
"383","46","Инженер по эксплуатации"
"384","14","Архитектор"
"389","112","Сетевой инженер"
"449","143","Электромонтажник"
"487","53","Коммерческий директор (CCO)"
"489","110","Секретарь, помощник руководителя, ассистент"
"509","86","Оператор станков с ЧПУ"
"538","126","Технический писатель"
"551","60","Массажист"
"562","18","Бухгалтер"
"566","97","Продавец-консультант, продавец-кассир"
"639","128","Токарь, фрезеровщик, шлифовщик"
"654","88","Офис-менеджер"
"659","33","Делопроизводитель, архивариус"
"670","67","Менеджер по логистике, менеджер по ВЭД"
"691","93","Переводчик"
"746","79","Научный специалист, исследователь"
"1040","69","Менеджер по персоналу"
"1117","167","Методист"
"1229","1","Event-менеджер"
"1269","111","Сервисный инженер, инженер-механик"
"1270","116","Специалист по информационной безопасности"
"1373","125","Технический директор (CTO)"
"1416","102","Разнорабочий"
